=== year backtest: 2025 ===
capital: $10000  lookback: 3  costs: --slippage-bps 2.0 --half-spread 0.005
overrides: --use-entry-windows --w4-5m-min 0.40 --max-hold-ms 7200000 --hold-score-gate 0.15 --hold-tier 0.001:1800000 --hold-tier 0.003:3600000 --hold-tier 0.005:5400000
total trading days: 261

row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2025-03-31,AAPL,Long,2025-03-31T14:15:00+00:00,2025-03-31T15:56:00+00:00,218.8788,219.8910,1.37,1.39,0.004625,6060000,SessionClose,0.4279,0.4267,0.5970,0.4615,0.3044,0.0064,0.3649,0.6905,,,
summary,2025-03-31,AAPL,,,,,,,1.39,,1,,,,,,,,,,0.9007,2025-03-28T13:46:00+00:00,346,1146
summary,2025-03-31,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2025-03-28T13:36:00+00:00,256,1350
summary,2025-03-31,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6909,2025-03-28T13:42:00+00:00,123,1062
  [64/261] 2025-03-31  +$1.39  (1 trades)  cum: +$94.18
trade,2025-04-01,SPY,Long,2025-04-01T14:51:00+00:00,2025-04-01T15:56:00+00:00,558.4367,561.0728,0.54,1.42,0.004720,3900000,SessionClose,0.4851,0.2331,0.4876,0.5022,0.4498,0.0454,0.1159,0.5299,,,
summary,2025-04-01,SPY,,,,,,,1.42,,1,,,,,,,,,,0.6437,2025-03-31T18:19:00+00:00,967,1563
trade,2025-04-01,QQQ,Long,2025-04-01T13:46:00+00:00,2025-04-01T14:07:00+00:00,467.9986,466.6616,0.64,-0.86,-0.002857,1260000,ScoreExit,0.4116,-0.0859,0.4199,0.4132,0.4058,-0.4271,-0.3360,0.5280,,,
trade,2025-04-01,QQQ,Long,2025-04-01T14:51:00+00:00,2025-04-01T15:56:00+00:00,469.3388,471.8356,0.64,1.60,0.005320,3900000,SessionClose,0.5250,0.2419,0.5273,0.5213,0.5317,-0.0331,0.1078,0.6019,,,
summary,2025-04-01,QQQ,,,,,,,0.74,,2,,,,,,,,,,0.6524,2025-03-31T18:31:00+00:00,1086,1632
