row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-08-21,MSFT,,,,,,,-1.46,,1,,,,,,,,,,0.8905,2023-08-18T15:00:00+00:00,818,961
summary,2023-08-22,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7406,2023-08-21T09:25:00+00:00,825,1483
summary,2023-08-22,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7486,2023-08-21T09:14:00+00:00,999,1570
summary,2023-08-22,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5584,2023-08-21T17:44:00+00:00,982,1415
summary,2023-08-22,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9249,2023-08-21T09:16:00+00:00,1113,1584
summary,2023-08-22,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6794,2023-08-21T14:04:00+00:00,753,1150
summary,2023-08-23,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7406,2023-08-21T09:25:00+00:00,1294,2290
summary,2023-08-23,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7486,2023-08-21T09:14:00+00:00,1556,2387
trade,2023-08-23,AAPL,Long,2023-08-23T13:51:00+00:00,2023-08-23T15:52:00+00:00,179.6789,181.1306,1.67,2.42,0.008080,7260000,MaxHoldTimeout,0.4940,0.2561,0.5404,0.5038,0.4588,0.5542,0.0729,0.5231,,,
summary,2023-08-23,AAPL,,,,,,,2.42,,1,,,,,,,,,,0.5584,2023-08-21T17:44:00+00:00,1526,2129
trade,2023-08-23,NVDA,Long,2023-08-23T14:01:00+00:00,2023-08-23T15:41:00+00:00,459.1026,465.8339,0.36,2.40,0.014662,6000000,ScoreExit,0.3761,-0.0558,0.1367,0.5102,0.1876,-0.0740,-0.3175,0.4735,,,
summary,2023-08-23,NVDA,,,,,,,2.40,,1,,,,,,,,,,0.9249,2023-08-21T09:16:00+00:00,1505,2464
summary,2023-08-23,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6794,2023-08-21T14:04:00+00:00,1190,1719
summary,2023-08-24,SPY,,,,,,,0.00,,0,,,,,,,,,,0.5306,2023-08-21T19:23:00+00:00,1669,2907
summary,2023-08-24,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.7035,2023-08-21T14:06:00+00:00,1917,3008
summary,2023-08-24,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.6272,2023-08-21T13:37:00+00:00,1878,2777
summary,2023-08-24,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-21T13:33:00+00:00,1855,3143
summary,2023-08-24,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8950,2023-08-21T14:05:00+00:00,1431,2367
summary,2023-08-25,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4607,2023-08-23T20:41:00+00:00,1064,2916
summary,2023-08-25,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5399,2023-08-23T20:40:00+00:00,1068,3008
summary,2023-08-25,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8071,2023-08-22T15:01:00+00:00,1287,2743
summary,2023-08-25,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9370,2023-08-23T20:23:00+00:00,1047,3133
summary,2023-08-25,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.7670,2023-08-23T20:28:00+00:00,787,2331
summary,2023-08-28,SPY,,,,,,,0.00,,0,,,,,,,,,,0.7487,2023-08-25T14:16:00+00:00,808,1109
summary,2023-08-28,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.9066,2023-08-25T14:15:00+00:00,855,1188
summary,2023-08-28,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.8390,2023-08-25T14:16:00+00:00,792,1068
summary,2023-08-28,NVDA,,,,,,,0.00,,0,,,,,,,,,,1.0000,2023-08-25T13:40:00+00:00,491,1231
summary,2023-08-28,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.8998,2023-08-25T14:15:00+00:00,495,917
summary,2023-08-29,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4880,2023-08-29T14:21:00+00:00,948,1353
trade,2023-08-29,QQQ,Long,2023-08-29T14:01:00+00:00,2023-08-29T15:56:00+00:00,369.7159,373.6229,0.81,3.17,0.010568,6900000,SessionClose,0.5741,0.1756,0.5171,0.5477,0.6458,-0.2472,0.0021,0.6635,,,
summary,2023-08-29,QQQ,,,,,,,3.17,,1,,,,,,,,,,0.6016,2023-08-29T14:15:00+00:00,1003,1432
trade,2023-08-29,AAPL,Long,2023-08-29T14:16:00+00:00,2023-08-29T15:56:00+00:00,182.0446,183.2500,1.65,1.99,0.006622,6000000,SessionClose,0.5376,0.1121,0.5524,0.5011,0.6055,-0.4592,-0.0614,0.6496,,,
summary,2023-08-29,AAPL,,,,,,,1.99,,1,,,,,,,,,,0.5890,2023-08-28T17:05:00+00:00,920,1270
trade,2023-08-29,NVDA,Long,2023-08-29T13:41:00+00:00,2023-08-29T15:42:00+00:00,465.3446,486.8989,0.42,9.12,0.046319,7260000,MaxHoldTimeout,0.5187,0.4913,-0.2835,0.5394,0.7448,0.5838,0.3082,0.8268,,,
summary,2023-08-29,NVDA,,,,,,,9.12,,1,,,,,,,,,,0.8918,2023-08-29T14:23:00+00:00,1071,1419
trade,2023-08-29,MSFT,Long,2023-08-29T14:06:00+00:00,2023-08-29T15:56:00+00:00,325.7127,328.2265,0.92,2.32,0.007718,6600000,SessionClose,0.5474,0.0402,0.5783,0.5234,0.5850,-0.5170,-0.1486,0.6035,,,
summary,2023-08-29,MSFT,,,,,,,2.32,,1,,,,,,,,,,0.6119,2023-08-29T14:33:00+00:00,587,983
summary,2023-08-30,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4880,2023-08-29T14:21:00+00:00,1544,2140
summary,2023-08-30,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.6016,2023-08-29T14:15:00+00:00,1709,2307
trade,2023-08-30,AAPL,Long,2023-08-30T14:11:00+00:00,2023-08-30T15:27:00+00:00,186.9985,186.4391,1.61,-0.90,-0.002992,4560000,MaxHoldTimeout,0.5574,0.1599,0.5178,0.5816,0.5222,-0.4344,0.0588,0.5600,,,
summary,2023-08-30,AAPL,,,,,,,-0.90,,1,,,,,,,,,,0.5890,2023-08-28T17:05:00+00:00,1634,2069
trade,2023-08-30,NVDA,Long,2023-08-30T14:51:00+00:00,2023-08-30T15:56:00+00:00,492.1226,494.7721,0.36,0.95,0.005384,3900000,SessionClose,0.5058,0.1235,0.0098,0.5314,0.6200,0.0368,-0.1102,0.6198,,,
summary,2023-08-30,NVDA,,,,,,,0.95,,1,,,,,,,,,,0.8918,2023-08-29T14:23:00+00:00,1735,2254
summary,2023-08-30,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6119,2023-08-29T14:33:00+00:00,1037,1560
summary,2023-08-31,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4849,2023-08-29T14:21:00+00:00,1847,2690
summary,2023-08-31,QQQ,,,,,,,0.00,,0,,,,,,,,,,0.5853,2023-08-29T14:15:00+00:00,2107,2852
summary,2023-08-31,AAPL,,,,,,,0.00,,0,,,,,,,,,,0.5918,2023-08-28T17:05:00+00:00,2159,2678
summary,2023-08-31,NVDA,,,,,,,0.00,,0,,,,,,,,,,0.9015,2023-08-29T14:23:00+00:00,2365,2836
summary,2023-08-31,MSFT,,,,,,,0.00,,0,,,,,,,,,,0.6885,2023-08-28T13:33:00+00:00,1218,2034
