row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2025-07-15,AAPL,Long,2025-07-15T13:31:00+00:00,2025-07-15T14:37:00+00:00,209.6829,209.6671,1.43,-0.02,-0.000075,3960000,ScoreExit,window:strong core,bullish_engulfing,0.4054,-0.0514,0.4774,0.4070,0.3782,-0.4510,-0.1707,0.3205,,,
summary,2025-07-15,AAPL,,,,,,,-0.02,,1,,,,,,,,,,,,0.4973,2025-07-15T15:37:00+00:00,756,1435
trade,2025-07-15,MSFT,Long,2025-07-15T13:31:00+00:00,2025-07-15T15:56:00+00:00,503.7861,506.6730,0.60,1.72,0.005730,8700000,SessionClose,window:candle reversal,shooting_star,0.3137,0.3118,0.4675,0.2799,0.3301,0.1869,0.2296,0.5178,,,
summary,2025-07-15,MSFT,,,,,,,1.72,,1,,,,,,,,,,,,0.4830,2025-07-15T13:43:00+00:00,653,973
summary,2025-07-16,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7201,2025-07-14T09:24:00+00:00,1267,2356
summary,2025-07-16,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.6344,2025-07-14T09:24:00+00:00,1583,2458
trade,2025-07-16,AAPL,Long,2025-07-16T14:16:00+00:00,2025-07-16T14:41:00+00:00,211.5284,211.2516,1.42,-0.39,-0.001309,1500000,ScoreExit,window:strong core,hammer,0.4235,-0.0609,0.5252,0.4633,0.3100,-0.4879,-0.1752,0.3100,,,
summary,2025-07-16,AAPL,,,,,,,-0.39,,1,,,,,,,,,,,,0.4973,2025-07-15T15:37:00+00:00,1145,2182
summary,2025-07-16,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.4830,2025-07-15T13:43:00+00:00,1007,1516
summary,2025-07-17,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4766,2025-07-14T14:59:00+00:00,1601,2916
summary,2025-07-17,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.8589,2025-07-14T15:03:00+00:00,2056,3006
summary,2025-07-17,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5169,2025-07-15T15:37:00+00:00,1576,2683
trade,2025-07-17,MSFT,Long,2025-07-17T13:41:00+00:00,2025-07-17T15:56:00+00:00,507.4872,512.4512,0.59,2.94,0.009782,8100000,SessionClose,window:strong core,hammer,0.3987,0.2502,0.4453,0.4146,0.3515,-0.1724,0.2296,0.4322,,,
summary,2025-07-17,MSFT,,,,,,,2.94,,1,,,,,,,,,,,,0.7759,2025-07-14T15:03:00+00:00,1336,1940
summary,2025-07-18,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3496,2025-07-17T08:11:00+00:00,1377,2893
summary,2025-07-18,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.3868,2025-07-17T08:01:00+00:00,1482,2971
summary,2025-07-18,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.7306,2025-07-15T13:42:00+00:00,1212,2550
summary,2025-07-18,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7443,2025-07-15T13:43:00+00:00,1224,1943
trade,2025-07-21,SPY,Long,2025-07-21T13:51:00+00:00,2025-07-21T15:52:00+00:00,630.1052,631.1106,0.48,0.48,0.001596,7260000,MaxHoldTimeout,window:strong core,,0.3518,0.0096,0.2007,0.4004,0.3050,-0.2375,-0.1346,0.3805,,,
summary,2025-07-21,SPY,,,,,,,0.48,,1,,,,,,,,,,,,0.4326,2025-07-21T14:02:00+00:00,478,1158
trade,2025-07-21,QQQ,Long,2025-07-21T13:41:00+00:00,2025-07-21T15:42:00+00:00,563.9741,565.3553,0.53,0.73,0.002449,7260000,MaxHoldTimeout,window:strong core,,0.4300,0.1137,0.5255,0.4247,0.4087,0.0357,-0.0249,0.4170,,,
summary,2025-07-21,QQQ,,,,,,,0.73,,1,,,,,,,,,,,,0.4895,2025-07-21T14:00:00+00:00,605,1205
trade,2025-07-21,AAPL,Long,2025-07-21T13:41:00+00:00,2025-07-21T14:46:00+00:00,213.8991,213.5609,1.40,-0.47,-0.001581,3900000,ScoreExit,window:strong core,three_outside_up,0.5122,-0.0797,0.5616,0.4882,0.5437,-0.5582,-0.2936,0.5074,,,
summary,2025-07-21,AAPL,,,,,,,-0.47,,1,,,,,,,,,,,,0.7184,2025-07-18T14:53:00+00:00,837,1115
