row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
trade,2024-11-18,MSFT,Long,2024-11-18T15:39:00+00:00,2024-11-18T15:40:00+00:00,417.9403,417.4647,0.72,-0.34,-0.001138,60000,ScoreExit,0.2829,0.2520,-0.0443,0.2636,0.4306,-0.2498,0.2636,0.3959,,,
trade,2024-11-18,MSFT,Long,2024-11-18T15:47:00+00:00,2024-11-18T15:48:00+00:00,418.2004,417.9896,0.72,-0.15,-0.000504,60000,ScoreExit,0.4429,0.4481,0.4264,0.4333,0.4675,0.4581,0.4333,0.4744,,,
trade,2024-11-18,MSFT,Long,2024-11-18T15:50:00+00:00,2024-11-18T15:51:00+00:00,418.4305,418.1095,0.72,-0.23,-0.000767,60000,ScoreExit,0.4637,0.3052,0.5587,0.4333,0.4927,0.4852,0.1815,0.4927,,,
trade,2024-11-18,MSFT,Long,2024-11-18T15:53:00+00:00,2024-11-18T15:54:00+00:00,418.1304,417.5797,0.72,-0.40,-0.001317,60000,ScoreExit,0.2303,0.1889,-0.1594,0.1815,0.4578,-0.4307,0.1815,0.4103,,,
summary,2024-11-18,MSFT,,,,,,,-1.27,,5,,,,,,,,,,0.4923,2024-11-18T15:34:00+00:00,299,984
summary,2024-11-19,SPY,,,,,,,0.00,,0,,,,,,,,,,0.4883,2024-11-18T15:34:00+00:00,851,1449
trade,2024-11-19,QQQ,Long,2024-11-19T15:49:00+00:00,2024-11-19T15:50:00+00:00,500.2400,500.1249,0.60,-0.07,-0.000230,60000,ScoreExit,0.4062,0.4162,0.4512,0.4309,0.3416,0.5137,0.4309,0.3542,,,
summary,2024-11-19,QQQ,,,,,,,-0.07,,1,,,,,,,,,,0.6745,2024-11-18T15:34:00+00:00,855,1555
trade,2024-11-19,NVDA,Long,2024-11-19T14:30:00+00:00,2024-11-19T14:31:00+00:00,141.3674,141.4426,2.12,0.16,0.000532,60000,ScoreExit,0.3483,0.3786,0.2170,0.2111,0.6663,0.5382,0.2081,0.6663,,,
trade,2024-11-19,NVDA,Long,2024-11-19T14:33:00+00:00,2024-11-19T14:34:00+00:00,141.5933,141.0927,2.11,-1.06,-0.003536,60000,ScoreExit,0.3338,0.2931,0.0909,0.2081,0.6663,-0.3169,0.2081,0.6663,,,
