row_type,date,ticker,direction,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl_pct,hold_duration_ms,exit_reason,entry_reason,candle_pattern,entry_composite,exit_composite,entry_1m,entry_5m,entry_1h,exit_1m,exit_5m,exit_1h,max_composite,max_composite_time,positive_ticks,total_ticks
summary,2023-08-22,MSFT,,,,,,,-0.98,,1,,,,,,,,,,,,0.6794,2023-08-21T14:04:00+00:00,755,1150
summary,2023-08-23,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7406,2023-08-21T09:25:00+00:00,1303,2290
trade,2023-08-23,QQQ,Long,2023-08-23T13:31:00+00:00,2023-08-23T15:32:00+00:00,364.9745,368.9843,0.82,3.30,0.010987,7260000,MaxHoldTimeout,window:candle reversal,shooting_star,0.3351,0.1276,0.4444,0.3504,0.2682,0.3484,-0.0353,0.3797,,,
summary,2023-08-23,QQQ,,,,,,,3.30,,1,,,,,,,,,,,,0.7486,2023-08-21T09:14:00+00:00,1574,2387
summary,2023-08-23,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5613,2023-08-21T17:44:00+00:00,1534,2129
trade,2023-08-23,MSFT,Long,2023-08-23T13:51:00+00:00,2023-08-23T15:41:00+00:00,325.1025,327.7465,0.92,2.44,0.008133,6600000,ScoreExit,window:strong core,hammer,0.3904,-0.0760,0.5159,0.4025,0.3244,-0.4916,-0.2393,0.3891,,,
summary,2023-08-23,MSFT,,,,,,,2.44,,1,,,,,,,,,,,,0.6794,2023-08-21T14:04:00+00:00,1193,1719
summary,2023-08-24,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.5386,2023-08-21T19:23:00+00:00,1682,2907
summary,2023-08-24,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7035,2023-08-21T14:06:00+00:00,1930,3008
summary,2023-08-24,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6272,2023-08-21T13:37:00+00:00,1886,2777
summary,2023-08-24,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8950,2023-08-21T14:05:00+00:00,1434,2367
summary,2023-08-25,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4607,2023-08-23T20:41:00+00:00,1066,2916
summary,2023-08-25,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.5399,2023-08-23T20:40:00+00:00,1076,3008
summary,2023-08-25,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.8071,2023-08-22T15:01:00+00:00,1299,2743
summary,2023-08-25,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7670,2023-08-23T20:28:00+00:00,792,2331
summary,2023-08-28,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7487,2023-08-25T14:16:00+00:00,809,1109
summary,2023-08-28,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.9066,2023-08-25T14:15:00+00:00,856,1188
summary,2023-08-28,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.8390,2023-08-25T14:16:00+00:00,794,1068
summary,2023-08-28,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.8998,2023-08-25T14:15:00+00:00,497,917
trade,2023-08-29,SPY,Long,2023-08-29T13:46:00+00:00,2023-08-29T15:56:00+00:00,444.1982,447.5707,0.68,2.28,0.007592,7800000,SessionClose,window:strong core,,0.4175,0.2293,0.5775,0.4006,0.3979,-0.1240,0.1273,0.5511,,,
summary,2023-08-29,SPY,,,,,,,2.28,,1,,,,,,,,,,,,0.4880,2023-08-29T14:21:00+00:00,951,1353
trade,2023-08-29,QQQ,Long,2023-08-29T13:46:00+00:00,2023-08-29T15:56:00+00:00,368.5855,373.6229,0.81,4.10,0.013667,7800000,SessionClose,window:strong core,hammer,0.4747,0.1756,0.5912,0.4591,0.4669,-0.2472,0.0021,0.6635,,,
summary,2023-08-29,QQQ,,,,,,,4.10,,1,,,,,,,,,,,,0.6078,2023-08-29T14:15:00+00:00,1009,1432
trade,2023-08-29,AAPL,Long,2023-08-29T13:46:00+00:00,2023-08-29T15:56:00+00:00,180.8472,183.2500,1.66,3.99,0.013286,7800000,MaxHoldTimeout,window:strong core,shooting_star,0.4431,0.1121,0.5841,0.4148,0.4526,-0.4592,-0.0614,0.6496,,,
summary,2023-08-29,AAPL,,,,,,,3.99,,1,,,,,,,,,,,,0.5912,2023-08-28T17:05:00+00:00,926,1270
trade,2023-08-29,MSFT,Long,2023-08-29T14:01:00+00:00,2023-08-29T15:56:00+00:00,324.4873,328.2265,0.92,3.46,0.011523,6900000,SessionClose,window:strong core,bullish_engulfing,0.5089,0.0402,0.5846,0.4911,0.5192,-0.5170,-0.1486,0.6035,,,
summary,2023-08-29,MSFT,,,,,,,3.46,,1,,,,,,,,,,,,0.6119,2023-08-29T14:33:00+00:00,588,983
summary,2023-08-30,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4880,2023-08-29T14:21:00+00:00,1549,2140
trade,2023-08-30,QQQ,Long,2023-08-30T14:06:00+00:00,2023-08-30T14:21:00+00:00,376.5479,375.3524,0.80,-0.95,-0.003175,900000,ScoreExit,window:candle reversal,shooting_star,0.3630,-0.0860,0.4532,0.3590,0.3408,-0.5705,-0.2187,0.3408,,,
summary,2023-08-30,QQQ,,,,,,,-0.95,,1,,,,,,,,,,,,0.6078,2023-08-29T14:15:00+00:00,1717,2307
trade,2023-08-30,AAPL,Long,2023-08-30T13:41:00+00:00,2023-08-30T15:56:00+00:00,185.5206,186.9339,1.62,2.29,0.007618,8100000,SessionClose,window:strong core,hammer,0.4349,0.2734,0.3465,0.4105,0.5131,-0.4603,0.2525,0.5600,,,
summary,2023-08-30,AAPL,,,,,,,2.29,,1,,,,,,,,,,,,0.5912,2023-08-28T17:05:00+00:00,1641,2069
trade,2023-08-30,MSFT,Long,2023-08-30T13:51:00+00:00,2023-08-30T14:19:00+00:00,328.8236,328.7413,0.91,-0.08,-0.000250,1680000,ScoreExit,window:candle reversal,bearish_engulfing,0.3365,-0.0709,0.3031,0.3505,0.3198,-0.5644,-0.1531,0.2580,,,
summary,2023-08-30,MSFT,,,,,,,-0.08,,1,,,,,,,,,,,,0.6119,2023-08-29T14:33:00+00:00,1038,1560
summary,2023-08-31,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.4849,2023-08-29T14:21:00+00:00,1853,2690
trade,2023-08-31,QQQ,Long,2023-08-31T14:13:00+00:00,2023-08-31T15:21:00+00:00,378.8486,378.5014,0.79,-0.28,-0.000916,4080000,ScoreExit,window:strong core,hammer,0.3911,-0.1169,0.4078,0.4238,0.3202,-0.5041,-0.2645,0.3074,,,
summary,2023-08-31,QQQ,,,,,,,-0.28,,1,,,,,,,,,,,,0.5914,2023-08-29T14:15:00+00:00,2116,2852
trade,2023-08-31,AAPL,Long,2023-08-31T13:39:00+00:00,2023-08-31T15:24:00+00:00,188.2114,188.1485,1.60,-0.10,-0.000334,6300000,ScoreExit,window:candle reversal,shooting_star,0.3350,-0.0517,0.3969,0.3172,0.3502,-0.5172,-0.1797,0.3596,,,
summary,2023-08-31,AAPL,,,,,,,-0.10,,1,,,,,,,,,,,,0.5940,2023-08-28T17:05:00+00:00,2162,2678
summary,2023-08-31,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.6885,2023-08-28T13:33:00+00:00,1224,2034
summary,2023-09-01,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7779,2023-08-29T14:36:00+00:00,2023,2708
summary,2023-09-01,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.9554,2023-08-29T14:51:00+00:00,2252,2832
summary,2023-09-01,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.9497,2023-08-29T14:49:00+00:00,2346,2724
summary,2023-09-01,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.9494,2023-08-29T14:50:00+00:00,1410,2084
summary,2023-09-04,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.3619,2023-09-01T14:13:00+00:00,26,552
summary,2023-09-04,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.4408,2023-09-01T14:13:00+00:00,29,505
summary,2023-09-04,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.5398,2023-09-01T14:13:00+00:00,291,537
summary,2023-09-04,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.4747,2023-09-01T14:13:00+00:00,42,449
summary,2023-09-05,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7306,2023-09-05T09:34:00+00:00,301,635
trade,2023-09-05,QQQ,Long,2023-09-05T14:56:00+00:00,2023-09-05T15:32:00+00:00,377.9183,377.6617,0.79,-0.20,-0.000679,2160000,ScoreExit,window:candle reversal,bearish_engulfing,0.3093,-0.0508,0.0949,0.2395,0.5204,-0.5605,-0.1466,0.3107,,,
summary,2023-09-05,QQQ,,,,,,,-0.20,,1,,,,,,,,,,,,0.7475,2023-09-05T09:34:00+00:00,431,662
trade,2023-09-05,AAPL,Long,2023-09-05T14:12:00+00:00,2023-09-05T15:56:00+00:00,188.5716,189.3082,1.59,1.17,0.003906,6240000,SessionClose,window:candle reversal,shooting_star,0.3090,0.3944,0.5697,0.1988,0.4423,0.5294,0.1417,0.8545,,,
summary,2023-09-05,AAPL,,,,,,,1.17,,1,,,,,,,,,,,,0.6992,2023-09-05T09:28:00+00:00,389,644
trade,2023-09-05,MSFT,Long,2023-09-05T14:26:00+00:00,2023-09-05T15:56:00+00:00,330.7842,332.6607,0.91,1.70,0.005673,5400000,SessionClose,window:candle reversal,shooting_star,0.4214,0.0772,0.5879,0.2715,0.6657,-0.3669,-0.1603,0.7001,,,
summary,2023-09-05,MSFT,,,,,,,1.70,,1,,,,,,,,,,,,0.7180,2023-09-05T15:08:00+00:00,401,485
summary,2023-09-06,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7306,2023-09-05T09:34:00+00:00,301,1382
summary,2023-09-06,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7475,2023-09-05T09:34:00+00:00,585,1468
summary,2023-09-06,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6992,2023-09-05T09:28:00+00:00,509,1407
summary,2023-09-06,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7180,2023-09-05T15:08:00+00:00,653,1015
summary,2023-09-07,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7306,2023-09-05T09:34:00+00:00,423,2151
summary,2023-09-07,QQQ,,,,,,,0.00,,0,,,,,,,,,,,,0.7475,2023-09-05T09:34:00+00:00,585,2315
summary,2023-09-07,AAPL,,,,,,,0.00,,0,,,,,,,,,,,,0.6992,2023-09-05T09:28:00+00:00,509,2331
summary,2023-09-07,MSFT,,,,,,,0.00,,0,,,,,,,,,,,,0.7180,2023-09-05T15:08:00+00:00,810,1611
summary,2023-09-08,SPY,,,,,,,0.00,,0,,,,,,,,,,,,0.7581,2023-09-05T15:04:00+00:00,629,2688
